Plate_number_384,Well_number_384,Well_ID_384,Target_ID,Target_flag,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Passes_cutoffs,Mean_logFC,p_value_log2_used,Hit_strength_log2_used,CellTiterGlo_raw,CellTiterGlo_foldNT,Raw_rep1,Raw_rep2,DeltaNT_rep1,DeltaNT_rep2,FoldNT_rep1,FoldNT_rep2,PercActivation_rep1,PercActivation_rep2,Raw_log2_rep1,Raw_log2_rep2,Log2FC_rep1,Log2FC_rep2,PercActivation_log2_rep1,PercActivation_log2_rep2,Raw_Glo_rep1,Raw_Glo_rep2,DeltaNT_Glo_rep1,DeltaNT_Glo_rep2,FoldNT_Glo_rep1,FoldNT_Glo_rep2,PercActivation_Glo_rep1,PercActivation_Glo_rep2,Raw_log2_Glo_rep1,Raw_log2_Glo_rep2,Log2FC_Glo_rep1,Log2FC_Glo_rep2,PercActivation_log2_Glo_rep1,PercActivation_log2_Glo_rep2,SSMD_deltaNT,SSMD_act,SSMD_log2,SSMD_act_log2,SSMD_deltaNT_Glo,SSMD_act_Glo,SSMD_log2_Glo,SSMD_act_log2_Glo,p_value_deltaNT,p_value_act,p_value_log2,p_value_act_log2,p_value_deltaNT_Glo,p_value_act_Glo,p_value_log2_Glo,p_value_act_log2_Glo,Hit_strength_deltaNT,Hit_strength_act,Hit_strength_log2,Hit_strength_act_log2,Hit_strength_deltaNT_Glo,Hit_strength_act_Glo,Hit_strength_log2_Glo,Hit_strength_act_log2_Glo
III,61,PlateIII_C13,ALX3,,ALX3,257,,Single,FALSE,FALSE,TRUE,1.43835878119852,0.0290541163372388,2.21045874103555,9852787,0.769881728826212,7118.97194626994,7554.68397005282,4598.40381461804,4649.59349745351,2.82435212001367,2.60049869059442,1.02171269051429,0.969732026307486,12.7974532006985,12.8831556900358,1.49792011429327,1.37879744810378,1.01370122358614,0.980478904498828,9246.83841649778,9812.78511645021,6687.36305631316,6885.59898697482,3.61278665164833,3.35229284453082,1.58275668708017,1.53777636832222,13.1747444632088,13.2604469525461,1.85319015205968,1.7451514112446,1.31809362318436,1.3033803945969,88.377811236638,35.4373921642793,21.8963024739765,40.6801496151448,64.3673743741585,64.3218089621996,30.8010887839766,78.4477237838529,0.00720308182140099,0.0179598676473095,0.0290541163372388,0.0156462450024888,0.00988961515710204,0.0098966198080153,0.0206614850015972,0.00811477073609392,3.08165729763631,2.51093841958316,2.21045874103555,2.59708604975832,3.60701466061923,3.60646142510783,3.03131214284433,3.76156907566415
VIII,93,PlateVIII_D21,BNC2,,BNC2,54796,,Single,FALSE,FALSE,TRUE,-1.42234079309691,0.028299319900008,-2.2021021541568,6513173,0.606468923134224,1092.05064052596,1167.44675946021,-1800.28450691746,-1999.14560227689,0.377567116138405,0.368676048602537,-0.421113393821474,-0.426338002279222,10.0928240430643,10.1891410430646,-1.40511907449861,-1.43956251169521,-1.07325405690323,-1.09821587244883,1800.67040349282,1924.99024257807,-1295.80709246611,-1271.16749831307,0.581522199287027,0.602282615138185,-0.35190603038059,-0.292788137395483,10.8143184177317,10.910635417732,-0.782070336666221,-0.731468344857266,-0.692083112897474,-0.59094025899179,-11.717382483559,-14.1719661702399,-22.4811194932261,-22.5732085397702,-15.6407164587295,-8.52921984613623,-17.4749626691894,-10.5523191979405,0.0541998941135362,0.0448467304403331,0.028299319900008,0.02818402186457,0.0406473989322948,0.0743006491970006,0.0363907059548247,0.0601502121516253,-1.80068566563029,-1.91769830285027,-2.2021021541568,-2.20462400908732,-1.05264136132601,-0.854398179458977,-1.08899828528257,-0.923835887043595
XII,157,PlateXII_G13,E2F3_1,,E2F3,1871,P2,Other,FALSE,FALSE,TRUE,-1.57220974736234,0.0430552653996034,-2.14759721194603,6524053,0.647495985438406,1538.05133293891,1648.49837718297,-3363.00219857444,-2925.93426451235,0.313820553693073,0.360372204884412,-0.280103300479795,-0.266144153131178,10.5868879391585,10.6869367514513,-1.6719847903675,-1.47243470435719,-0.935905506812468,-0.833349420439418,2375.38358156387,2545.95922485419,-2541.50786645153,-2041.33812026338,0.483106777255098,0.555002005170638,-0.236794170993396,-0.203463606634512,11.2139447861209,11.3139935984136,-1.04958554815944,-0.849435063062694,-0.62837074386905,-0.507972843868241,-12.67739096164,-22.1783835349615,-14.7635566999214,-15.9711007904561,-8.29398721352847,-11.0683906985295,-8.89309439456853,-8.8516236687443,0.0501131740238943,0.0286850878030546,0.0430552653996034,0.0398087644422761,0.0763880567693953,0.0573611879423264,0.0712864069971243,0.0716175865810958,-2.04394827823628,-2.42488798198215,-2.14759721194603,-2.20112713680789,-1.06057883476498,-1.17870487218176,-1.08908193432,-1.08717061188405
IX,113,PlateIX_E17,GTF2I,,GTF2I,2969,,Single,FALSE,FALSE,TRUE,-1.11649799425788,0.011962019947623,-2.14612739542652,7494533,0.654401112979067,1569.10133514551,1437.9532861648,-1856.64804290334,-1658.44103257652,0.458031560977528,0.464396048481747,-0.3784725350023,-0.327511277628597,10.6157228115959,10.4898010933231,-1.1264280258403,-1.10656796267546,-0.878520892628891,-0.79159149859216,2397.76691088192,2197.35764142992,-1021.23344864699,-868.65184945496,0.701306422562733,0.716683248359985,-0.223414382398446,-0.178675577480303,11.2274757045239,11.1015539862511,-0.511861620648158,-0.480503607542952,-0.417966460799459,-0.350595976550145,-16.1079622810214,-12.9979109642697,-53.2138260664743,-18.2103727384089,-11.2261758740166,-8.37477129865123,-22.4343247193828,-10.6792201620519,0.0394713986655806,0.0488823282616867,0.011962019947623,0.0349241074539565,0.0565592355452021,0.0756581597534494,0.0283582702369486,0.059439619789402,-1.56724775555217,-1.46355929324951,-2.14612739542652,-1.62659766281616,-0.618986059111531,-0.556292273000973,-0.767753413059541,-0.608282163709509
VII,82,PlateVII_D10,ZFP1,,ZFP1,162239,,Single,FALSE,FALSE,TRUE,1.36105788698849,0.0283082948760575,2.10703505361802,8166947,1.06038177886917,8844.23000834035,8500.17157913909,5341.87123321607,5246.57584404269,2.52522102280242,2.61254693920578,1.15800790949302,1.02669388281118,13.110520829895,13.0532762475448,1.33640992146942,1.38570585250756,1.1023541373546,1.01714163186066,8340.60918867558,8016.14262761474,5369.68831707678,5129.41552059474,2.80741546111495,2.77689657886987,1.28665712034968,1.10480152999925,13.0259370449968,12.9686924626465,1.49432566772383,1.47377107986543,1.17575633803573,1.06539824703973,38.1624696903284,15.6618241431036,22.4739825888159,17.9804891352775,32.0419541705948,12.7825476785018,25.9945161819018,17.1173196567076,0.0166780118971509,0.0405927662615646,0.0283082948760575,0.0353697055883299,0.0198618723132054,0.049702593828017,0.0244784707259789,0.0371493327538211,2.41976455058375,1.8939819427272,2.10703505361802,1.97539661893681,2.52582037579493,1.93463654519339,2.39112206598127,2.12226186659712
VI,77,PlateVI_D5,NR1H4,,NR1H4,9971,,Single,FALSE,FALSE,TRUE,-1.40201256844646,0.0324355555771783,-2.08756679377664,5197467,0.545105355454211,900.190130447993,807.216835980602,-1579.0451296629,-1240.67463973273,0.363091855352093,0.394169732895356,-0.351854776520097,-0.328850775417881,9.81408593708896,9.65681245457135,-1.46151331147052,-1.3425118254224,-0.980436955023863,-0.89121125497708,1651.40577218858,1480.84554279968,-849.44661489839,-496.319897246929,0.66033716372687,0.748974017452364,-0.210459287876421,-0.150602067942024,10.6894789376797,10.5322054551621,-0.598151678613741,-0.416240064135605,-0.431325133107026,-0.294576478055894,-7.94436439639375,-18.9626085366065,-19.6102334493692,-18.1045108244992,-3.75266324075213,-5.81096514396418,-5.41570341672195,-5.17872689966287,0.0797155085810086,0.0335413033241104,0.0324355555771783,0.0351279049911594,0.165792147460665,0.10849226150724,0.116241427167356,0.121435197648867,-1.54005077055023,-2.06715546355577,-2.08756679377664,-2.03901382511882,-0.395833938941362,-0.489241765382908,-0.474045075793513,-0.464416646590017
VIII,284,PlateVIII_L20,ZNF331_2,,ZNF331,55422,P2,Other,FALSE,FALSE,TRUE,-1.45636444310974,0.0379578395158113,-2.06905480120716,5994160,0.558141440476745,1100.26989274127,1105.34119028283,-1792.06525470215,-2061.25117145427,0.380408851897338,0.349063303391686,-0.419190788154556,-0.439582642521203,10.1036417403752,10.110276045728,-1.39430137718765,-1.51842750903182,-1.06499131409655,-1.15838053438748,1971.31016073893,1980.39620447944,-1125.16733522,-1215.7615364117,0.636629900689283,0.61961779268356,-0.305564904493323,-0.280026476633046,10.9449390687332,10.9515733740859,-0.651449685664728,-0.690530388503337,-0.57649204325128,-0.557867212563368,-10.3706302701053,-13.6394030861648,-16.751880554186,-16.8785020236869,-12.5965673175441,-10.9296829881743,-16.6858866271057,-16.2045166481165,0.0611975929320659,0.0465916830780055,0.0379578395158113,0.0376737490224548,0.050433376964151,0.0580851457679571,0.0381076079497841,0.0392368058576446,-1.76695696654597,-1.93942829661356,-2.06905480120716,-2.07380640144509,-0.87046326439677,-0.829300015401373,-0.952127019717184,-0.943617552871678
IX,45,PlateIX_B21,ZBTB38_2,,ZBTB38,253461,P1,Main,FALSE,FALSE,TRUE,-1.41386034298025,0.0364217965490167,-2.03403411519792,5191200,0.453280685760798,1217.28474741245,1227.36466519791,-2208.46463063639,-1869.02965354341,0.355333859275416,0.396385130204228,-0.450189367023393,-0.369098615949429,10.2494509676098,10.2613482398645,-1.49269986982642,-1.33502081613408,-1.16418270141022,-0.955016920913009,2685.49882148481,2707.73651680717,-733.5015380441,-358.272974077711,0.785463158551651,0.883146815056235,-0.160467514384244,-0.0736942315601892,11.3909743730375,11.4028716452923,-0.348362952134488,-0.179185948501768,-0.284459752995211,-0.13074172932911,-11.600359223654,-9.84254981215298,-17.4600130275994,-10.0341698584299,-2.85871646243947,-2.64573512964056,-3.06661609587067,-2.66517287800591,0.0547439791430345,0.0644591848915337,0.0364217965490167,0.0632363827783513,0.214224573939537,0.230054743846317,0.200675004738359,0.22851780358821,-1.78381618461859,-1.68350498776136,-2.03403411519792,-1.69526518086249,-0.176499585812804,-0.168332626258881,-0.183984451159128,-0.169100513752303
V,285,PlateV_L21,CHCHD3,,CHCHD3,54927,,Single,FALSE,FALSE,TRUE,-1.46002642406194,0.0409226900719198,-2.02656898273564,4561267,0.519035547074514,927.98294246511,919.343517834714,-1733.87830307672,-1506.93196729901,0.348621831441938,0.378911431726412,-0.325658271683805,-0.303981749030098,9.85795447675778,9.84446022307881,-1.52019626307538,-1.3998565850485,-0.959075642706294,-0.871759074276184,1787.89862793711,1771.25347775599,-1216.787159926,-863.099029920283,0.595036803901095,0.672367677672108,-0.281125490289153,-0.212381808101046,10.8040492241372,10.7905549704582,-0.748939810843346,-0.572463854858412,-0.581861307609684,-0.425191368934245,-9.9064409019033,-11.7581984725556,-15.5352122806495,-14.5690394532769,-4.64838631735294,-5.43015164219576,-6.44055622494709,-5.65385785048635,0.0640462670216808,0.0540126542861087,0.0409226900719198,0.0436283275979592,0.134899030769276,0.115938941050093,0.0980624520505028,0.111446588785435,-1.74255055762533,-1.85059003359955,-2.02656898273564,-1.98597383717785,-0.574804761020582,-0.618265397230946,-0.66631598244188,-0.629604725097553
VIII,199,PlateVIII_I7,NR2F6,,NR2F6,2063,,Single,FALSE,FALSE,TRUE,1.36205629963498,0.0348128320555462,1.98623309806949,11451800,1.06632524791657,7659.52599461218,7900.45415057452,4767.19084716875,4733.86178883742,2.64821523238154,2.49493880110307,1.11511703229802,1.00954386504928,12.9030393992168,12.9477198723758,1.40509628165393,1.31901631761603,1.07323664733741,1.00625338896823,7183.10478869151,7409.04725458837,4086.62729273258,4212.88951369722,2.31976650825522,2.31811063634256,1.10981703726716,0.970355264278934,12.8103918466856,12.8550723198446,1.21400309228767,1.21296855725532,1.0743164646279,0.979935712068614,36.7863025753136,17.5273864054816,18.2686969573009,18.1564759944594,40.3675492300449,14.131558022584,34.5229640952338,17.705640205001,0.0173016308426765,0.0362820986432077,0.0348128320555462,0.0350275694192984,0.0157673578781798,0.0449745407181879,0.0184353177175369,0.0359176025470246,2.39982464463011,1.96178004034042,1.98623309806949,1.98259552584842,2.1869939972191,1.63460577013699,2.10460837968291,1.75311406360726
XII,323,PlateXII_N11,Sox11_Rep,Rep,SOX11,6664,,Single,FALSE,FALSE,TRUE,-1.19820557165793,0.0246334132940092,-1.92728419405303,5444547,0.540357707859013,2177.33196267952,1955.72441379447,-2723.72156883383,-2618.70822790085,0.444257943456333,0.427533765820118,-0.226857835936521,-0.238198749734549,11.0883456666488,10.9334873753698,-1.1705270628772,-1.22588408043865,-0.655210938718532,-0.693809908810486,4029.42704621809,3619.31436407814,-887.464401797314,-967.982981039429,0.819507017557705,0.788986213839029,-0.0826857158632968,-0.0964804931275659,11.9763589977714,11.8215007064924,-0.287171336508944,-0.341927954983957,-0.171925067619722,-0.204477214614854,-20.7812457502599,-20.0057776743972,-25.8308505879181,-23.6852265208746,-7.47426879284114,-6.96607051622744,-6.80878273398779,-6.82160900157399,0.0306107287104703,0.0317953326316854,0.0246334132940092,0.0268623947601949,0.0846720250006759,0.0907685360056159,0.0928360810737921,0.0926639841962401,-1.81423460670067,-1.79447655105295,-1.92728419405303,-1.88220754031554,-0.337279020006906,-0.327781072535329,-0.324704315144901,-0.32495778864157
VIII,84,PlateVIII_D12,ZNF227,,ZNF227,7770,,Single,FALSE,FALSE,TRUE,-1.35100419693635,0.039933291952477,-1.88960213204407,6720147,0.62574114251129,1181.21098804664,1191.5198837454,-1711.12415939679,-1975.0724779917,0.4083935394177,0.37627826623436,-0.400257458887599,-0.421204165251705,10.2060509667737,10.2185873116762,-1.29189215078915,-1.41011624308355,-0.986769389925652,-1.0757518534771,1887.6990943988,1904.17379135959,-1208.77840156012,-1291.98394953156,0.609627906827146,0.595769653981055,-0.328271400408271,-0.297582792692706,10.8824130972345,10.894949442137,-0.713975657163457,-0.747154320452303,-0.631823599714913,-0.603612679535811,-10.022729688507,-13.0092208612788,-15.921166426985,-16.033107833275,-13.7140112899479,-11.133112598089,-18.7976280951908,-16.8915727291524,0.0633080875600789,0.0488399977896388,0.039933291952477,0.0396552052388659,0.046339107588246,0.0570295073226003,0.0338351323839398,0.0376446649949519,-1.61923365863057,-1.77146961940542,-1.88960213204407,-1.89370231001405,-0.974611928627723,-0.908750067386273,-1.07439233825097,-1.04054120286466
VII,189,PlateVII_H21,ZNF821,,ZNF821,55565,,Single,FALSE,FALSE,TRUE,1.24425290236323,0.0313697428916852,1.87072060267623,7339987,0.953010772806114,8145.64016823446,7849.44392758696,4643.28139311019,4595.84819249055,2.32575835065482,2.41254432531839,1.00656798797192,0.899354048396462,12.9918123696921,12.9383747384971,1.21770146126652,1.27080434345995,1.00443600599279,0.932801143434162,8547.2697693121,8236.4692525715,5576.3488977133,5349.7421455515,2.87697658023197,2.85322060147005,1.33617606667771,1.1522566818337,13.0612479421692,13.0078103109742,1.52963656489623,1.51288892819312,1.20353944586083,1.09367678202096,34.8829931071524,16.2777362568694,20.2776426356463,17.859844211474,34.3823251292036,13.159731485678,26.7926776510036,17.6016053300524,0.0182451506502271,0.0390607566524812,0.0313697428916852,0.0356081349243068,0.0185106839383554,0.0482835563871089,0.0237499369187429,0.0361294405291023,2.16357232753359,1.75223078124726,1.87072060267623,1.80223907838311,2.63570565874514,2.00228716624679,2.47104418673112,2.19387197627307
